"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","3","","测试 addTheme 函数","","edu.tongji.plantary.circle.service.impl.ThemeServiceImplUnitTest$AddThemeTest","test_006_addThemeWithNullPicture","测试用例 - 006 输入的themePicture为null",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试addPost","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddPost","test_002_addPostWith11Phone","测试用例 - 002 电话号码为11位的情况",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","26","","测试 addTheme 函数","","edu.tongji.plantary.circle.service.impl.ThemeServiceImplUnitTest$AddThemeTest","test_005_addThemeWithEmptyPicture","测试用例 - 005 输入的themePicture为空字符串",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","5","","测试addPost","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddPost","test_017_addPostWith29ThemeName","测试用例 - 017 主题名称长度为29",""
"passed","Sun Jun 18 22:04:14 CST 2023","Sun Jun 18 22:04:14 CST 2023","3","","测试 addTheme 函数","","edu.tongji.plantary.circle.service.impl.ThemeServiceImplUnitTest$AddThemeTest","test_004_addThemeWithNullName","测试用例 - 004 输入的themeName为null",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试addPost","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddPost","test_026_addPostWithNullThemeName","测试用例 - 026 主题为空",""
"passed","Sun Jun 18 22:04:14 CST 2023","Sun Jun 18 22:04:14 CST 2023","3","","测试 addTheme 函数","","edu.tongji.plantary.circle.service.impl.ThemeServiceImplUnitTest$AddThemeTest","test_003_addThemeWithNameExceedsMaxLength","测试用例 - 003 输入的themeName长度超过30",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试 addTheme 函数","","edu.tongji.plantary.circle.service.impl.ThemeServiceImplUnitTest$AddThemeTest","test_012_addThemeWithMaxLengthName","测试用例 - 012 输入的themeName长度为30",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试addPost","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddPost","test_005_addPostWith1Name","测试用例 - 005 名字为最小长度",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","3","","测试addComment","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddComment","test_021_addCommentWithContentLength1024","测试用例 - 021 测试评论内容长度为1024",""
"skipped","Sun Jun 18 22:04:21 CST 2023","Sun Jun 18 22:04:21 CST 2023","0","","PostTest","","PostTest","addPostTest","addPostTest()",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试 addTheme 函数","","edu.tongji.plantary.circle.service.impl.ThemeServiceImplUnitTest$AddThemeTest","test_018_addThemeWithNormalNameAndPictureButNameExists","测试用例 - 018 输入的themeName和themePicture正常, themeName在数据库中已存在",""
"passed","Sun Jun 18 22:04:14 CST 2023","Sun Jun 18 22:04:14 CST 2023","2","","测试 updateThemeStateByName 函数","","edu.tongji.plantary.circle.service.impl.ThemeServiceImplUnitTest$TestUpdateThemeStateByName","test_003_UpdateThemeStateByNameWithLong","测试用例 - 003 输入的themeName长度超出30位的上限",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","3","","测试addComment","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddComment","test_025_addCommentWithEmptyReleaseTime","测试用例 - 025 测试发布时间为空字符串",""
"passed","Sun Jun 18 22:04:14 CST 2023","Sun Jun 18 22:04:14 CST 2023","3","","测试 updateThemeStateByName 函数","","edu.tongji.plantary.circle.service.impl.ThemeServiceImplUnitTest$TestUpdateThemeStateByName","test_005_UpdateThemeStateByNameWithNull","测试用例 - 005 输入为null",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试addPost","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddPost","test_011_addPostWith2083Picture","测试用例 - 011 图片链接长度为2083",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","3","","测试addComment","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddComment","test_009_addCommentWithExcessivePhoneLength","测试用例 - 009 测试手机号超过11位数字",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试 addTheme 函数","","edu.tongji.plantary.circle.service.impl.ThemeServiceImplUnitTest$AddThemeTest","test_002_addThemeWithEmptyString","测试用例 - 002 输入的themeName为空字符串",""
